faction,x,y,asset_mint,cargo_type
Ustur,44,10,5UvMLTPjdx5njRFUGta4QZfuRnwkuyNsK9enrC1B4mVr,Food
Ustur,44,10,8h4prtAnUkyeEEh7sEw4z9kTX3c3QgZuP4gdEFt7QnTb,Power Source
Ustur,44,10,8nZ49fiD1Y4aGvr5kLnacpot41hkD3e62V9diZtJKJbN,Iron
Ustur,44,10,CyP63jMmysZGyeeYSvwBW1W956gZqTrDCtPhsem7jKyk,Titanium Ore
Ustur,44,10,BvVXL1WVamJpnvrLyWfqf17wcKc8FdoYasJwLvbxYN6C,Electronics
Ustur,44,10,7WkzE9EKQTxKAbhGakXdwKUei5KbaWBD3xyZbuZu1BJq,Framework
Ustur,44,10,VoW1VNJg2Lfbq8wStDP8rsLXpP3aLNgm4paJ4fLALsv,Hydrogen
Ustur,44,10,56Xr3bCM9Z7EYaae5AeuN3d9hsWhLtJi31gupG6NyZRV,Field Stabilizer
Ustur,44,10,7FQ566fRErcQ5fwopL4zCH9FZ6GQ81zNU8sKwWUnGnfW,Steel
Ustur,44,10,6jjVgfir3RXKbPCB2SbY9ZJ79Di55De2xNc87hTKcRXD,Toolkit
Ustur,44,10,9E5jPUGswzg7cUP1sTHXFpmoK5fohYSbJGpPKWuf3aVW,Polymer
Ustur,44,10,ApC1Ero8wVEmzEDY5o6rYPQ1oRgJyXozeaN1rJPpfg2g,Aerogel
Ustur,44,10,B3Tu6keAzknHquEr511fx5s1FCWJE2ZYfsYu9NT6NazT,Carbon
Ustur,44,10,BuTDXseer8xfLhJgKKdMFP6aAm7eux3Lv37HHdeAfT27,Calico Maxhog
Ustur,44,10,81ibx2HELdZbmEFcg1VUgN4RLN99JjT9m6qCcmepWrgu,Copper Ore
Ustur,44,10,37xu313Ykh28FmuXivXkXEdicU4Zu2jMx2mhWmmUnYn7,Diamond
Ustur,44,10,HhyM14cubeWMgfNeRX3fYBUPdA25YzoUJY2dYjs49HPz,Super Conductor
Ustur,44,10,Fv5utTeouz2FeACssiBpQYHLj2af2ZPf8cvMDaYa4Wuc,Arco
Ustur,44,10,6m4ZTVyAtdCr7p9PsqZ16sn4qZJ3fpTHzuRn2ZkeHkB9,Graphene
Ustur,44,10,ENCFJrpRDJu7DrGznJYJ7ufo6QxcBEKRkLcUHGtJP2w,Fimbul Mamba EX
Ustur,44,10,HaaSHaekq8UvrKL5jx2pAe8FSN7tyUEyAePPsNKP3c3e,Magnet
Ustur,44,10,BFAvTqgJRxGSdBAXepbWhN5kSjXGAKYPZLAKtj3zuSrT,Electromagnet
Ustur,44,10,DyBBMoMCpLi8LCgHq8VrkZaPGgn5pkhHPg3nygjAGBdo,Lumanite
Ustur,44,10,4H6ZKYebtERU8UEEu9tdk1TabchoiCRmLV1Hz3QuDQtH,Copper
Ustur,44,10,9Z1985dUii4JqY4Nqa7bjkgMAsAbQ6siJzAvY3zvQgY5,Silica
Ustur,44,10,BYiNihyKWaYgW6x4zmZcavyQf8WDk833c3kWXN2THGz3,Ammunition
MUD,11,-16,7Nc1xMAdU4W836C4ByCjeF9JmWcdY3ztgLSm2JLtFW2,Particle Accelerator
MUD,11,-16,7ek8mV98tAmGSYKmP2jss35kLS86kw7JVdSh31MVr1Tz,Fuel
MUD,11,-16,2F9fMUChH7wxVvSUn5E6G7eeg4RmaU7RUA4jKcHuJ3WD,Strange Emitter
MUD,11,-16,DpCX5VdCThBYv44CGjhMujHUExUp6k3Y2rz46cqBj8Ny,Biomass
MUD,11,-16,FhgsEa4kaoBX7RV9VP4ytsHc4NFBbSd6VJ15CwBFJTPu,Honeyland Explorer Badge
MUD,11,-16,98MKh2Lo5k2xzqAM2s5K7EfVgNuuV2oLDZPrTPwf46EZ,Titanium
MUD,11,-16,CuAnq3Ae7WgSamwoFrxA2VZBagqDqTPv5scYfo6Eonib,Hydrocarbon
MUD,11,-16,HHkudAT4ZpLQ26Y1kCgme2peFb9iFpMyyRUQ1LMy1Cwv,Iron Ore
MUD,11,-16,BV9k5FV9SWxhSL7Z6pLq5pSeMXJaPsusGMTcH2viz4ko,Golden Ticket 2624
MUD,11,-16,HC9Hy64GvMpaCRDXXsSQzKWdsBqdgiJ1mx9abVv7NB4A,Nitrogen
MUD,11,-16,64ia8YqkoC2R5wCu3GTtTnRxYZSDmS7yGn76XCLsyGHx,The Edge of Paradise
MUD,11,-16,8SSFAMr8ogdAB4qX2KaVCbJreJTwC6gysZrNLSNMGbBK,Rochinol
MUD,11,-16,oAZWvSGqmzeQLHtgSMm1qYQ2MH8JAA1yDhdRvaWt2rf,Copper Wire
MUD,11,-16,HifVhiJaf28MqdFiLx9rwb5qFNRLwYi5umcND2rXWciv,Energy Substrate
MUD,11,-16,9RpNby4b3vE7XWwjDxuNqzAMYHNsbULPMKTnyswxQB6j,Crystal Lattice
MUD,11,-16,5giPNNRHhrhQubv1ZeksfRvuT5B67HvZXewu51auyGsv,Survey Data Unit
MUD,11,-16,CJwR8qZzdrtBdvweZ2AwEvKXGJJUTvLgdZ7zpSJYE1vq,Radiation Absorber
MUD,11,-16,34SZLtg8p5Dp5mwuNuS8dGwxomEFryMJgWExHPv4JkV4,Food
MUD,11,-16,BwCfjAcjE6Ki6p7Mk2wZahru4GLwCD7mKEweRxkT8XM5,Power Source
MUD,11,-16,94So2mfMSj9Pki1WtbzV6ZV9hkApEX9596SCtBZwz9vJ,Iron
MUD,11,-16,6ka3EqoFtim1Tytdoc4aXfDML7ywWiE2TF3wi4mSWgr7,Titanium Ore
MUD,11,-16,9QahMhmv8tinKkoH2eZ98adZv2BxbNgNER8oSi46PS8u,Electronics
MUD,11,-16,ChB9fhvSj713mazg6yMESgkUGJHt9QUwyA71UDJGd3yz,Framework
MUD,11,-16,Dp74qNk91tqdyP238RNDdWP1MtR9gVG7CqfWHXr5aU1p,Hydrogen
MUD,11,-16,DjsF32owVk2neDPSkUNdaUTtVva3X89R2CezfYDAh6G6,Field Stabilizer
MUD,11,-16,2F2qiA2mzi1eK6DbxPjuAQ5mQhNwB2swMxyaYBQUieM1,Steel
MUD,11,-16,5yXUSUBK244inCcJvruaYLjGMcHdEFRXbmbe5LzTceEj,Toolkit
MUD,11,-16,CNJnyC4SLELkSE2P5f5HbnHyfBvESUEyqV8PLQjd5NgW,Polymer
MUD,11,-16,8LPsrfXmvovZ2iZj7azKjVBbxkCrzPtcTWe3frbJE5c7,Aerogel
MUD,11,-16,J7zcz1VdMVrShgQcGZKaogMQwGxz4cptWiNZgRhiisHj,Carbon
MUD,11,-16,7zmsPjdJH28fj5FYFsEDyYtJr5ZYi8aaaKLjYRJVnxPK,Calico Maxhog
MUD,11,-16,68DgUoLGA4jJThoLh1H9VD7YRj7eu1PqdSKHGBknjbBd,Copper Ore
MUD,11,-16,8u3yPQkmjPjjmC1DKeijgjcv4AuqCV1GZSxvNYgPHVP,Diamond
MUD,11,-16,DKpU3qJCv6m46wFdmZRFzTFuntr9pmzGxNQRacNvG6qR,Super Conductor
MUD,11,-16,6vY9qNwnwDyded2TWVnySsqTmNMg6MYzNY4J3dne86ks,Arco
MUD,11,-16,5fhfjaWudVxog59bvQV2U5xyc1uuHoWTZDXZ16D4v5Hg,Graphene
MUD,11,-16,7Qu75HmjUnrnAfniU89ep2gTbgge9sM2eQV4PHYjhfxc,Fimbul Mamba EX
MUD,11,-16,12AR5yihid9wxUHDf5xKqLpPkRX4nyaSKiAD7LXmLBu,Magnet
MUD,11,-16,23GTZQ6wA3BSZZJbYGzeUwV4fSMEz2qaxY85L6R9SRgZ,Electromagnet
MUD,11,-16,CvSevhoS6ZuU7sxdc51ZTYPt9LtaDD1JoBMTiHMuCnfJ,Lumanite
MUD,11,-16,4iDwLz5tx5Ko2cX9TKBbsCXMUmyZcfpMA2evHgCR6z66,Copper
MUD,11,-16,YMk3N9LZDnaqDkctCKpRkJrtRkQjVrCojr7SGkkY63D,Silica
MUD,11,-16,EqXFCQHVoo89UjSUqPbLLt1T6zRKhT3E13AzF3unUs9G,Ammunition
ONI,-23,4,9i8B2SMze7RkHwd3264tn6GLCCTGdtPGL9qmA6jgxHq6,Particle Accelerator
ONI,-23,4,A661YE7pYneH3tbWgNEJkL3xg8xyn8D96uuHESDKfQx8,Fuel
ONI,-23,4,6rSdh2i8wNPxDS6tu9BtHfpDQHGJjpXkZEdg4sytc9LG,Strange Emitter
ONI,-23,4,FqvVMpn4fFoYZYpCYZynC9VMNr9LjUhkGfjHS5ubh6Wk,Biomass
ONI,-23,4,2zFx3FXD8tsG1enK5gfKuJrHbUA1v5kw76HjtXuGq5My,Honeyland Explorer Badge
ONI,-23,4,DWX5MwXFCBKRqiYJmJsf9LjdcZfeF87aua2g1zBBqCEd,Titanium
ONI,-23,4,GGJKk43KYBB5iuMeMcxf8nHQiYrVMZQkQGhRy7h1mekD,Hydrocarbon
ONI,-23,4,GJJfnkJDKsXRDmJakNsTeZ8Gt7yc8KvUBPUVQdsD8ieW,Iron Ore
ONI,-23,4,8w39GD8N3Dfw1UK9UjkMW15kPJueRoGvfpgSUDUujMEA,Golden Ticket 2624
ONI,-23,4,5LiUbNnZ2XkfVaUqiffP5QDq4WJFq5oJr3himBe9B8hC,Nitrogen
ONI,-23,4,8T826jF9rkbUMtS5CRNjTejqLMC88Li5cYAoExZwpihC,The Edge of Paradise
ONI,-23,4,HZ14wdgRxJZYT6iiJbxSwez4QZSJvadEyyw5PJN2hbcy,Rochinol
ONI,-23,4,7Ec3ijTriQgZ1JFhu6qy5c3gFtjPhgCNHahAnuHTcMBt,Copper Wire
ONI,-23,4,5WHJvNxhxQT9sDY5kef3Ncoiy627fAMadDK1wrujdhQV,Energy Substrate
ONI,-23,4,2cwRZVcH8jt4QB218HcUzbhuxTdqxUxJz3cNJ1rRTVe7,Crystal Lattice
ONI,-23,4,rtyJC5YVwseRY2afrf3uR5oCYbPDa5D4vyw3rcJgJVp,Survey Data Unit
ONI,-23,4,CNUJHh4tQtuFCDp6q2uWydauuo1RNKkayXw3hb4f46B8,Radiation Absorber
ONI,-23,4,37VRrYuowPLVnwss8wVgwoTxjyG5sW8f6YGPoPP6AT1s,Food
ONI,-23,4,AU8Q99GwgpxNbsF6VBQrD56241K3kdTAJzJckojcW8LD,Power Source
ONI,-23,4,FUWAn7wYonsoEQm36HJBaxUrriX5ZQoaG11qhY51wqL3,Iron
ONI,-23,4,APR1pmBXWLDZWBR9GfDJ8pjwKKKfEWQZviJHAo93Pd2W,Titanium Ore
ONI,-23,4,12EHy6AVJqjxK2ptUu2rYWUSTzFvu4aAeDRN7cLDJzNE,Electronics
ONI,-23,4,HMcNb5seEiwbo9VvhVc7LiewGhWhBDZQ9V6TS8DNJPHk,Framework
ONI,-23,4,4jJ7GxQDd8SqxYFEVyiSxRSd31ZUrnEVb6Qx3iqt2igE,Hydrogen
ONI,-23,4,HzxnbiUYN5NMCBtDiGcydwctpGL6tp9WGfCHp9PENtBN,Field Stabilizer
ONI,-23,4,AZpdjpzVmZDyZY1gDaGwp7ZBJ3xJqQVPcBz4xVKCmvC5,Steel
ONI,-23,4,EXxRuDLeV7hnGbtT2tjCAY6BaEWAN1V4gAysi1RcTCP5,Toolkit
ONI,-23,4,GiPVyFAXdvHZmGk6Sr8sAaJ1XWmXQ1a6WqudNdrVvDwk,Polymer
ONI,-23,4,AEW2PxK4bVdU9kf3znNu65T6upnE9P4FX9nQTq5s4fyv,Aerogel
ONI,-23,4,9rjm7C4cqZkJ7YY72jLTD4DQBpj2GmXs6yX46QS7CcmR,Carbon
ONI,-23,4,9DMbeYf2qhEDozaQqbwkN9NbasSwyiyYwkrpwNAVK2M9,Calico Maxhog
ONI,-23,4,Gcqz1bm7uDCSwrmKEC11TcHaUjkdq4M8dSnBBEAwicnb,Copper Ore
ONI,-23,4,HyN7TqazaaoTAMSqLRchwBrnaPEKsthcTz66dKUzW41F,Diamond
ONI,-23,4,HFBtMPFLEi5B65dMrwCGUq4Qz3HEHxkcMFtaE5FwVsFg,Super Conductor
ONI,-23,4,FZmGya3jvCkc8QWYBEZeAJCFJDRrJoUop5GXbbzNRUeY,Arco
ONI,-23,4,AT5B5iXxbjMbGNmB27Pg98SKMh4RLfy4Pmqv62SD3jLH,Graphene
ONI,-23,4,GGkdWuhF3AndCfzBQNv3sBvJHrXbEL7ML3jje9Js4rCe,Fimbul Mamba EX
ONI,-23,4,7wvgaXkwEsp2SdfD2jmPmfCWQDcTe5xt86dqvdkcJj62,Magnet
ONI,-23,4,F3hY6DsK2oBW8XAC4p7Sn3NJbMeLu9h1pMwRwrTBR3WY,Electromagnet
ONI,-23,4,FwLEFCNP8u2WkeeaMPkVDpwe3RuRWfAmeUDZ3v92jkUc,Lumanite
ONI,-23,4,C1ZFTw2zLzxcMgNgqtswomH88vjEjUZTXfgezZkgpkkY,Copper
ONI,-23,4,HKNRUdMd1X1X2k9Nd4b2Ts5LjVtkfAJoqX5TujZff9Qp,Silica
ONI,-23,4,9iFMTJA1kGZqKsCdFmNot9aaBCcuCHcST87yZhLV2ptb,Ammunition
ONI,0,16,4uxKR4imdY8AV994Nyk66HJWsfic3iXakYPCEGh99P5F,Particle Accelerator
ONI,0,16,Go4DQP32FbuDDCpcLWbsubUKqCGt5adGosndhQzVHMX8,Fuel
ONI,0,16,HUnLjBdYF3sseGEANTF27AykogyVDd3NLX9YJqqaFi19,Strange Emitter
ONI,0,16,FoEAjEZ6eFmMPKkE6eLn4cSzL6Twu6Yd4hGYhrVHFKfb,Biomass
ONI,0,16,6fUwydgh5k27EX3sN2x3T97JtNY2UbB2hLAb89tgWZik,Honeyland Explorer Badge
ONI,0,16,HSQAuJFgQ6qXvzhfCdsvPVRESrFPMi87p9maXVPcAU8B,Titanium
ONI,0,16,ABus2sn4jWxnH3Pt3pvMkWQQnUvwfJSbw8txoLhJdPxR,Hydrocarbon
ONI,0,16,BstUHZxW1L16JZx3NmCqGT4YwToz5BkZ26fNEFRCB5Cn,Iron Ore
ONI,0,16,AaRX5JuPpwZ4DfdHUP9HszSJNHTD9GUETcUtaHjEu2QX,Golden Ticket 2624
ONI,0,16,Anr9asW4iFu8r7F88L1ERzVmAi9qfziVbeFxE557vJAR,Nitrogen
ONI,0,16,7rJKGsnMijmurWxCskJYcWfWnJ2KpKtNd5oqWi9HYy2h,The Edge of Paradise
ONI,0,16,CZfo8pYTgszt7TQYJ7NkLVUwVz5yF6WHQNzgvyPTiC4n,Rochinol
ONI,0,16,BE2k6V8J9WBBkGHc75V8tkGa14PyEDTaavSrMFSs3B4V,Copper Wire
ONI,0,16,6niYy93H5J5eoiHDDc24x8omgpTk7ygSCFoL3rHqgkMo,Energy Substrate
ONI,0,16,GcGphsRJtAfyFNCL2dWdiGupHX97SFNjWWbM7E6EfGLA,Crystal Lattice
ONI,0,16,DbDJNMx8af9QcgAin7H9ZTapq4uezLMtFtPrRUtydT5Z,Survey Data Unit
ONI,0,16,QJiSk84fmNjRZHK7v5oErjwLAyudXpkHWcB7YUCRQQZ,Radiation Absorber
ONI,0,16,HpjPjeX2jm7mRrUjQjatktsHFKE2tVoqSx2gXbADvL7n,Food
ONI,0,16,Dp1HqYUC5dbSZQR82cj2uGxhzVHiQWsRrvGytJoZwjqg,Power Source
ONI,0,16,CPCHfNW3iSxWHsYF7JRRtUKWQnnjQueYxADDEaEW2iLZ,Iron
ONI,0,16,4kBzFwRNUta44ePy7aAaZuxc3r3T67w3mpfuqyFHz9dt,Titanium Ore
ONI,0,16,GNLXjftgnrAktPMw9Cot6C72FYKsAQzDkaLyWfr72UFu,Electronics
ONI,0,16,GWY4eWcuMBncpQk6fvhQgKeYAVD77gPqHtnauhZuNYAL,Framework
ONI,0,16,9jtW4mtqajDBTB7rFc4tYaPGLyH7muDyUsc9Kr7kEZyg,Hydrogen
ONI,0,16,HjRTARkdGUruRrZzoxyA2HpDLsu5U2pPWbagaKAMsWfs,Field Stabilizer
ONI,0,16,3i6WECTPhfZGo1HyfSwdFWsHbNSwMx7nN5j2LPUxipL8,Steel
ONI,0,16,B9fkBXp9CP9J8zpF3vZ7mJHiFeHJPKrnY5mHmuBBxrfD,Toolkit
ONI,0,16,4LN1ET9pRcKc52TijMhuar7yZ2iYARPuamong2bZLxUJ,Polymer
ONI,0,16,4jxqQ8atodjKyo8wazgVaqFSErV41CqpocmBtpi1M76o,Aerogel
ONI,0,16,EzWoHwoWJrPncEQpBpnSJv7oCKCeYEMi5pcJDwC49ctb,Carbon
ONI,0,16,B5KFf94VAY97J9svbqoaT5VPoUT1abd1fo5YkWq7FJue,Calico Maxhog
ONI,0,16,EfQSDyNe3uEfnAyCQXbtEPUPWcA8mmkGqdBXxHQxL6bx,Copper Ore
ONI,0,16,FV3ANDaWsDBTSqnuddU75sjAqXSoUQEpkRMTM5mfdSTW,Diamond
ONI,0,16,4f9D215HJzJRsghGC8dqPX28GLYMFBJrEiReTTLN6HC9,Super Conductor
ONI,0,16,AJCfor6U1p2xfxqFdBeCZeGxeiEyPxqRLwGAWo3Yn7wG,Arco
ONI,0,16,34iavjdwVxCQjR3ML25afdGZNgguPxdpcVBSX9MVz2Nc,Graphene
ONI,0,16,GXNKpWTXzLutVojZszVNofkEQBUSNjCwNdyYWYbE4eHW,Fimbul Mamba EX
ONI,0,16,6tbB7wYLbWWRNVvTsogT3eknqKpXBPJYQV3H78ZUhgwN,Magnet
ONI,0,16,EUvGcFs3j4NQL4A2jPe3W5GTBCWHY8FUSzhHU89ChagF,Electromagnet
ONI,0,16,7gFqXqZBNVq5nywQ5mqRJ4njnPjPsZUqTf7s3kAdyGpg,Lumanite
ONI,0,16,6iJFMyFUyiv5QSDJAXFCcqEW3VfjHuo5SHRXBBr2TfLa,Copper
ONI,0,16,132w68X72yiVvSHzHjmdvFAEjyhpELNGNx9MrqL8Qtd7,Silica
ONI,0,16,A7nzNpLxSquAyoTp48Tc1ybYAhdTfpw3HkyNb51RLhQE,Ammunition
Ustur,22,5,9QpQyXnvvUrDR1NTYQCaSEiWwBcbFpecXadQWZQmx3Qk,Particle Accelerator
Ustur,22,5,3R1fiZWNeHXTLJPVfWYQbehnxZ1cRhDqYmzr1GGtcZTy,Fuel
Ustur,22,5,DSCdWqHiEUxCYwsxVKQrGBERNnBbQmLn6bihRpHnnuFH,Strange Emitter
Ustur,22,5,7ra5phxAh9ntSCUXxSiWhtdv6QP7fvs9UvNWxMbSmYqr,Biomass
Ustur,22,5,9NAWZvZLHzShM5sDxCiEti1QFtvW9uCMLtPefspU7z5u,Honeyland Explorer Badge
Ustur,22,5,EA8g9hzoVvQTXdEiEaKjUqvniwQaKWYnV4BuXEHy2zoP,Titanium
Ustur,22,5,8JMiMQbb9w9ngeodXfS3rPpYeEa9GnZUSsZ7YA7psG72,Hydrocarbon
Ustur,22,5,GoHKosKRHTrhU22EkRUi63i8egk4yTYwPkvF3jSRZs8R,Iron Ore
Ustur,22,5,HaYN8XoXVJubaac4Y2vcRxYDW8MiJmstV88b6ibcxxuC,Golden Ticket 2624
Ustur,22,5,2TS8kPbqon9HnwuudQypx5n4JhhCHbBnGUApHz9LZYsH,Nitrogen
Ustur,22,5,FSdeUycatmFHjn84hb3PhCKvsmta3N4NrCa6DkTmKikW,The Edge of Paradise
Ustur,22,5,BZnayh7dzaaQMKZrxMxj48N6Md1piMjbphbzUVwMzzyp,Rochinol
Ustur,22,5,273QmG6jZHvnqwoZWN6ico4xhTafZJnUXhSDxLwvDgUa,Copper Wire
Ustur,22,5,FcKLtWXmodkLKBkfpn1e8TVB28BNsedUmBbCHk11DP3n,Energy Substrate
Ustur,22,5,YWfN3yN7EfZnN6TTR8HkaD5juWiXbEDpfTsixPHTnb6,Crystal Lattice
Ustur,22,5,GgWNnNtwwZzDQRcRc4a3MZdSiDPhcSRcWZhQaSq4r4ui,Survey Data Unit
Ustur,22,5,ETfv4dKgZkGnjyt6n3ezipCEe4KNAZN6AFMx463Us2Ya,Radiation Absorber
Ustur,22,5,5f5zEkdkqwxXYAzKscXUoxsgo71qYDX9EgQoW2QQbmQG,Food
Ustur,22,5,4YeSJiAjSE59nu7TNAB2U3i5WRBWiR3uo8uWqC2h8JnQ,Power Source
Ustur,22,5,3NYKwXtJyVhHER45YMYF3DMMag4p4ocFQZ9Dq6XnWYrH,Iron
Ustur,22,5,41oXRRhPHmCx9KZV4ez5uqiYVXbaAEAKLkzQhMGyoAZF,Titanium Ore
Ustur,22,5,B7FzZz5yL9AoPNaqjjyyvcMR82bEAfNtH1nLuNyFKHhX,Electronics
Ustur,22,5,J1dqKoFVkKNMpPtwVRnTMmmLjxrktYPLiCGy9LigjRPV,Framework
Ustur,22,5,CEf6cJkj64DhFeRdDDeJgYgj9BLcpL3XE4Euuuqz61i5,Hydrogen
Ustur,22,5,DhynC6eaRJ9UHztpEfuyPbrZdb4rG8dpWvkRUxgbkbL5,Field Stabilizer
Ustur,22,5,4WgyM2Xhn7GD253fBMZeYUnbBRZ229yttMibZWVZbCsc,Steel
Ustur,22,5,5BLuhrXk3ZAqsxvU4QYeuGepVAQjLVa3Qf6vnDgt3666,Toolkit
Ustur,22,5,HkKNnMAadwyuUhmHQqsUE8C7vU3ZjLSGHxixYvh9Euz3,Polymer
Ustur,22,5,6dWEHpHa5WbgVS5YJk8qDLhHUdEKWiZrFNzCFUviYgRj,Aerogel
Ustur,22,5,6nR9LNdHjubrB1jBvkh2yGnBkzxgfZ7A8MQaTyHgBanH,Carbon
Ustur,22,5,FBtwHQD5AoxaYyof1hs29qZMm6oBpzVF8PuVQLt5ncNL,Calico Maxhog
Ustur,22,5,5x5yRZ8WunZqZm6DfCLuJEKwb65MSWSVPJggUiPuKQ8R,Copper Ore
Ustur,22,5,EY6UNwFrMKsY2hrtGDz1kcKSyGnpoKnFx4TEJSYXsgY5,Diamond
Ustur,22,5,H5sx8YAoCc445bUKRQfbiQCewsc87HsGYBaTqkBKk86w,Super Conductor
Ustur,22,5,DDre47rh2DMeY3HPFozgL2Ce3qqoANeWEkMxWKwuzqAo,Arco
Ustur,22,5,2Q3oFviaPUsu7c3aaU5Jvu5FjUZyJ8XMeieNfc9JWBnz,Graphene
Ustur,22,5,2KboTXdBuJGXJMgGn6CNwWSyxrmgrkawyqQcgAxKYNGU,Fimbul Mamba EX
Ustur,22,5,Aa3YktkaYE21KYvLo1WtwhbDzR1ouujUg1ojbtY5cDZP,Magnet
Ustur,22,5,5kE9QNnQUL1xNm41FDjWp33scCP3a1h879Vf2P6VUoMx,Electromagnet
Ustur,22,5,5S2LngkRu9rrjKqaNdXcmZEXtHBB7thVq2MfRFEWT9ds,Lumanite
Ustur,22,5,2bQvCnL1HpaRvSd6koQC8xZcB3FdghU8jc8kgRvoNDjk,Copper
Ustur,22,5,L7x9M2rKZDBxer9UZgsg3AmhUWknKwE4Li86Vfb58dX,Silica
Ustur,22,5,9R3axu1fZEcBgoirPy5HAcbmiKto7C4jk5AzdECtXodj,Ammunition
MUD,10,-41,7N85x3uc9M7edPtD2GCZaFXHwMxDNoXDwp283Hkzvyta,Particle Accelerator
MUD,10,-41,9E34c1ot2MmYw9DJjU2o9L8qB4bKRx6j4bJLptprR5Hv,Fuel
MUD,10,-41,4fzpneEdpiMqn6rHVvNNsMBUWoXGMHMGTmYhG2UKy2FJ,Strange Emitter
MUD,10,-41,7hEPTx3xHWUzWTWD1RxaYCawdokrgqz7sKZH1rJv5av8,Biomass
MUD,10,-41,GuHs5y34ZV1grjK7wNuG4RSqVRekxCeDoHrteMkDsmGh,Honeyland Explorer Badge
MUD,10,-41,2qaBzgxa46UzWEzzaUABnvZ2SHN1ASa24ZvmA6y5LpgZ,Titanium
MUD,10,-41,BwV2hbbsXc885q4Xsp8He5fFaR73fXPUZeHoZzPxTv8F,Hydrocarbon
MUD,10,-41,G225hqhaAD371xspRoAV7Bjcvpfo9BKHgip9ho6pK7qd,Iron Ore
MUD,10,-41,58Tbsej5oSgwM7wvBBm2q1ggigoUwoUxad1J5RYP3GN2,Golden Ticket 2624
MUD,10,-41,9nTTePhP6J76kJgapbwdRgDV58itXnfDuzkndzHciqxx,Nitrogen
MUD,10,-41,6sCZaQ6HkDTGQ2ZLgaM9KvaxwkK3p63RyBoFkwNu7JJe,The Edge of Paradise
MUD,10,-41,75giNrha4cY7H331ZaxtUBcBFahqWTtomY1Q96EqDJsX,Rochinol
MUD,10,-41,5Ucb3G5KQE1Pn14GMDWz6DYkJvFAiCLdxzYsatetDkZ,Copper Wire
MUD,10,-41,J7vFfeFKfoFGEiscKiMdF2LwfeDJTQEvGaicd7dKiNh3,Energy Substrate
MUD,10,-41,7NBo2gGtUW5nqUMR4RZzrCYgVvzNxgte9axsVvohwLHU,Crystal Lattice
MUD,10,-41,4JRPYEhRysKe5Fka6ycLKxuE9FFNDpRJ1LT9pbJyGhva,Survey Data Unit
MUD,10,-41,7yHDe2t2XV9UcpTozC1U7ST5pF5id7Wn3qLsy1CaC9yu,Radiation Absorber
MUD,10,-41,HbEarX4yLNHTCPzuaoQXiStKjkpYCcWA8gE7tp7ZE7Vw,Food
MUD,10,-41,FmEkpmmFBtGU6oHZYS9kEtrMrXaSwFvLnBKJk3W8qcr,Power Source
MUD,10,-41,6JS53G9xcubMZxwUdwPPZr1UZLxfoCP2Hsm2Syzkya8n,Iron
MUD,10,-41,6FPqUDYziDefiuxUC6T6AkjdvqmF7gue5sy7egDTeyMC,Titanium Ore
MUD,10,-41,9F2JUdSg84zcYpFq1LLdxxXxxKr4b3RNTzUvjwtBaCaT,Electronics
MUD,10,-41,A6iPMiC1e9wmpsnBzdMEsrUsBET4XF3FRpXJvz3UZm98,Framework
